PlayerName,Player,Runs,Mins,BF,Fours,Sixes,SR,MB_Clust,Uncertainty,X,Y,Clust_KM,X_KM,Y_KM,Clust_PAM,X_PAM,Y_PAM,Clust_clara,X_Clara,Y_Clara
WM Darling,4900,356,793,647,26,0,55,7,0.0127233390320517,1.11562887067576,1.29605024776092,3,1.11562887067576,1.29605024776092,1,1.11562887067576,1.29605024776092,1,1.11562887067576,1.29605024776092
MJ Di Venuto,4951,241,371,281,28,0,85,5,0.410865976618317,1.01649971920432,-0.184632590720941,3,1.01649971920432,-0.184632590720941,1,1.01649971920432,-0.184632590720941,1,1.01649971920432,-0.184632590720941
AIC Dodemaide,4964,124,217,159,4,0,77,2,0.339931249209043,1.20416910185536,0.191782241387942,3,1.20416910185536,0.191782241387942,1,1.20416910185536,0.191782241387942,1,1.20416910185536,0.191782241387942
GC Dyer,4996,174,275,227,8,4,76,5,0.141556290972089,1.12267294134627,0.22190336043721,3,1.12267294134627,0.22190336043721,1,1.12267294134627,0.22190336043721,1,1.12267294134627,0.22190336043721
J Dyson,5001,755,2121,1553,55,2,48,3,2.99423891236827e-07,0.655323528694787,1.69856277929922,3,0.655323528694787,1.69856277929922,1,0.655323528694787,1.69856277929922,1,0.655323528694787,1.69856277929922
R Edwards,5124,255,331,349,22,0,73,5,0.0524442748078475,1.1173975203971,0.397821144451872,3,1.1173975203971,0.397821144451872,1,1.1173975203971,0.397821144451872,1,1.1173975203971,0.397821144451872
CJ Ferguson,5236,606,752,735,57,0,82,2,0.000238389994914434,0.763158154425121,-0.00686559935575565,3,0.763158154425121,-0.00686559935575565,1,0.763158154425121,-0.00686559935575565,1,0.763158154425121,-0.00686559935575565
DW Fleming,5239,152,335,221,9,1,68,5,0.0116382842637628,1.21922911567456,0.627177633522151,3,1.21922911567456,0.627177633522151,1,1.21922911567456,0.627177633522151,1,1.21922911567456,0.627177633522151
AJ Finch,5334,3386,4681,3762,351,76,90,4,0.0447291039935538,-2.59640191289089,-0.566223474240266,3,-2.59640191289089,-0.566223474240266,1,-2.59640191289089,-0.566223474240266,1,-2.59640191289089,-0.566223474240266
AC Gilchrist,5390,9568,13006,9861,1155,149,97,1,0,-8.9774046687514,-0.756887124631646,3,-8.9774046687514,-0.756887124631646,1,-8.9774046687514,-0.756887124631646,1,-8.9774046687514,-0.756887124631646
JN Gillespie,5392,288,393,366,16,6,78,2,0.0529161254772379,0.998485265767986,0.122004920569302,3,0.998485265767986,0.122004920569302,1,0.998485265767986,0.122004920569302,1,0.998485265767986,0.122004920569302
BJ Haddin,5560,2907,4626,3464,281,65,83,4,0.0534690205042273,-2.0764676184609,-0.187012342862226,3,-2.0764676184609,-0.187012342862226,1,-2.0764676184609,-0.187012342862226,1,-2.0764676184609,-0.187012342862226
NM Hauritz,5593,334,416,346,21,8,96,9,0.0704146119278442,0.808329048907332,-0.762265765089053,3,0.808329048907332,-0.762265765089053,1,0.808329048907332,-0.762265765089053,1,0.808329048907332,-0.762265765089053
IJ Harvey,5597,692,1024,776,63,7,89,2,0.0211570742457513,0.543245866176085,-0.378125419527056,3,0.543245866176085,-0.378125419527056,1,0.543245866176085,-0.378125419527056,1,0.543245866176085,-0.378125419527056
ML Hayden,5616,5943,10913,7515,609,86,79,1,2.03935237619302e-06,-5.29050519008803,0.258530911824521,3,-5.29050519008803,0.258530911824521,1,-5.29050519008803,0.258530911824521,1,-5.29050519008803,0.258530911824521
IA Healy,5628,1764,2911,2104,77,5,83,1,0.4304491802327,-0.136736101144403,0.039048781084124,3,-0.136736101144403,0.039048781084124,1,-0.136736101144403,0.039048781084124,1,-0.136736101144403,0.039048781084124
AMJ Hilditch,5656,226,628,476,15,0,47,7,0.000447900153947689,1.28588681128735,1.66772016882067,3,1.28588681128735,1.66772016882067,1,1.28588681128735,1.66772016882067,1,1.28588681128735,1.66772016882067
BJ Hodge,5674,575,907,652,51,12,88,2,0.000726753239016609,0.580123875826864,-0.368878735645158,3,0.580123875826864,-0.368878735645158,1,0.580123875826864,-0.368878735645158,1,0.580123875826864,-0.368878735645158
GB Hogg,5681,759,1212,958,41,5,79,2,0.0267979847394996,0.62812629476599,0.129498213321228,3,0.62812629476599,0.129498213321228,1,0.62812629476599,0.129498213321228,1,0.62812629476599,0.129498213321228
RM Hogg,5685,136,280,208,8,0,65,5,0.00982220651254828,1.27143584222844,0.774382304580096,3,1.27143584222844,0.774382304580096,1,1.27143584222844,0.774382304580096,1,1.27143584222844,0.774382304580096
DW Hookes,5696,754,1190,1073,64,11,70,3,0.0036883330720936,0.556379315335093,0.535619451477887,3,0.556379315335093,0.535619451477887,1,0.556379315335093,0.535619451477887,1,0.556379315335093,0.535619451477887
JR Hopes,5702,1237,1642,1335,111,6,92,6,0.0642737785528619,0.11986290105302,-0.471056255100041,3,0.11986290105302,-0.471056255100041,1,0.11986290105302,-0.471056255100041,1,0.11986290105302,-0.471056255100041
KJ Hughes,5724,1954,3333,2905,140,12,67,3,0.147089084332644,-0.478609999369738,0.819926048511863,3,-0.478609999369738,0.819926048511863,1,-0.478609999369738,0.819926048511863,1,-0.478609999369738,0.819926048511863
DJ Hussey,5766,1789,2822,1964,129,30,91,3,0.0532868460820176,-0.602206543406299,-0.498912522961881,3,-0.602206543406299,-0.498912522961881,1,-0.602206543406299,-0.498912522961881,1,-0.602206543406299,-0.498912522961881
MEK Hussey,5939,5277,8642,6070,372,80,86,1,8.97006374667164e-06,-4.01396479112213,-0.180462191699202,3,-4.01396479112213,-0.180462191699202,1,-4.01396479112213,-0.180462191699202,1,-4.01396479112213,-0.180462191699202
MG Johnson,6033,905,1272,920,78,22,98,6,6.88933354808796e-11,0.144903566320624,-0.88748910065505,3,0.144903566320624,-0.88748910065505,1,0.144903566320624,-0.88748910065505,1,0.144903566320624,-0.88748910065505
DT Johnston,6038,742,983,782,48,23,94,6,0.00222881403713204,0.333612390243066,-0.715834320536226,3,0.333612390243066,-0.715834320536226,1,0.333612390243066,-0.715834320536226,1,0.333612390243066,-0.715834320536226
DM Jones,6044,6020,10649,8299,377,63,72,1,1.70663350118616e-09,-4.5193118552705,0.74183588417701,3,-4.5193118552705,0.74183588417701,1,-4.5193118552705,0.74183588417701,1,-4.5193118552705,0.74183588417701
BP Julian,6056,224,356,250,17,6,89,9,0.0927341543165383,0.947382517565221,-0.42017506317765,3,0.947382517565221,-0.42017506317765,1,0.947382517565221,-0.42017506317765,1,0.947382517565221,-0.42017506317765
SM Katich,6128,1324,2462,1926,138,4,68,3,0.00100061291447906,0.041656897926042,0.7478401061973,3,0.041656897926042,0.7478401061973,1,0.041656897926042,0.7478401061973,1,0.041656897926042,0.7478401061973
BM Laird,6250,594,1531,1105,52,0,53,7,0.000423838268022836,0.840110022682777,1.42825366872941,3,0.840110022682777,1.42825366872941,1,0.840110022682777,1.42825366872941,1,0.840110022682777,1.42825366872941
JL Langer,6256,160,248,180,13,4,88,9,0.000116899023186789,1.03042750049457,-0.367467105334633,3,1.03042750049457,-0.367467105334633,1,1.03042750049457,-0.367467105334633,1,1.03042750049457,-0.367467105334633
GF Lawson,6272,378,655,500,19,4,75,2,8.7142387479755e-05,0.962194736235816,0.288648547957904,3,0.962194736235816,0.288648547957904,1,0.962194736235816,0.288648547957904,1,0.962194736235816,0.288648547957904
SG Law,6274,1237,2172,1643,72,8,75,3,0.00311210037144949,0.19752174462913,0.36241246932703,3,0.19752174462913,0.36241246932703,1,0.19752174462913,0.36241246932703,1,0.19752174462913,0.36241246932703
B Lee,6278,1151,1776,1383,66,35,83,6,0.00791281372612607,-0.0701670154677619,-0.203333004643875,3,-0.0701670154677619,-0.203333004643875,1,-0.0701670154677619,-0.203333004643875,1,-0.0701670154677619,-0.203333004643875
S Lee,6282,477,663,500,31,7,95,2,0.00502427733069533,0.714170544073374,-0.69610726212079,3,0.714170544073374,-0.69610726212079,1,0.714170544073374,-0.69610726212079,1,0.714170544073374,-0.69610726212079
DS Lehmann,6285,3049,4917,3749,226,14,81,4,0.100875701416378,-1.41784669547885,0.220184811419073,3,-1.41784669547885,0.220184811419073,1,-1.41784669547885,0.220184811419073,1,-1.41784669547885,0.220184811419073
DK Lillee,6295,240,403,318,17,1,75,5,0.0601209306140129,1.09992704481648,0.290508682202278,3,1.09992704481648,0.290508682202278,1,1.09992704481648,0.290508682202278,1,1.09992704481648,0.290508682202278
KH MacLeay,6453,139,187,170,7,3,81,9,0.343593626635326,1.12759807668331,-0.025666203756528,3,1.12759807668331,-0.025666203756528,1,1.12759807668331,-0.025666203756528,1,1.12759807668331,-0.025666203756528
JP Maher,6462,438,753,673,40,7,65,2,0.110832238712507,0.899829876625103,0.766066174728854,3,0.899829876625103,0.766066174728854,1,0.899829876625103,0.766066174728854,1,0.899829876625103,0.766066174728854
GR Marsh,6499,4327,10113,7738,301,21,55,1,0,-3.14259706410137,1.74342664104777,3,-3.14259706410137,1.74342664104777,1,-3.14259706410137,1.74342664104777,1,-3.14259706410137,1.74342664104777
RW Marsh,6502,1225,1864,1486,86,17,82,3,0.0180509757705773,0.0687200507661011,-0.0433355841228522,3,0.0687200507661011,-0.0433355841228522,1,0.0687200507661011,-0.0433355841228522,1,0.0687200507661011,-0.0433355841228522
DR Martyn,6513,5238,8882,6729,425,22,77,1,0.00821818357167881,-3.48185963619296,0.621857342392339,3,-3.48185963619296,0.621857342392339,1,-3.48185963619296,0.621857342392339,1,-3.48185963619296,0.621857342392339
GRJ Matthews,6525,599,1292,879,22,2,68,7,0.482957772031436,0.835758834731486,0.672529168325821,3,0.835758834731486,0.672529168325821,1,0.835758834731486,0.672529168325821,1,0.835758834731486,0.672529168325821
RB McCosker,6547,320,518,623,14,0,51,7,0.0011070797622279,1.22618881697606,1.47406929055615,3,1.22618881697606,1.47406929055615,1,1.22618881697606,1.47406929055615,1,1.22618881697606,1.47406929055615
